symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
ITGA4	7.831	7.959	7.703	7.944	8.132	7.831	7.818	7.774	7.405	8.397	7.695	8.648	8.18	8.156	7.986	8.565	8.075	6.839	7.473	8.395	6.824	7.493	7.586	6.919
ITGA5	8.635	6.591	5.793	10.703	10.139	4.676	9.506	10.746	10.139	9.004	6.265	9.993	10.512	9.66	8.813	6.869	10.703	8.452	8.113	9.852	10.8	9.493	10.004	10.959
ITGA6	10.354	9.549	8.906	9.79	10.21	8.681	11.421	10.317	10.13	9.506	8.802	9.43	9.892	9.34	9.387	8.137	9.852	8.898	9.156	8.689	9.707	10.572	9.833	10.997
ITGAE	6.138	6.318	5.967	8.197	8.352	7.001	9.064	8.054	7.867	7.079	6.131	7.942	7.2	7.988	5.833	6.174	6.674	6.06	6.146	7.232	9.273	6.234	6.586	8.054
ITGAL	9.252	10.101	8.678	10.498	9.185	8.895	9.398	9.959	8.425	9.336	8.488	9.823	10.062	10.196	8.468	10.535	8.606	10.13	8.43	10.572	10.101	9.064	9.168	7.685
ITGAM	7.761	7.624	7.829	7.986	8.488	8.457	8.695	7.618	7.495	8.14	7.88	8.363	8.309	8.303	7.79	8.416	7.317	8.69	7.497	8.185	7.541	9.215	7.801	7.561
ITGAX	9.109	8.75	8.586	8.459	8.767	8.748	9.291	8.523	9.344	9.27	8.224	9.564	9.667	9.276	8.258	8.873	10.004	9.682	8.153	10.041	8.393	8.99	9.1	9.453
ITGB1	12.854	11.321	12.051	12.693	12.443	13.978	13.05	12.693	12.48	12.786	11.975	13.133	13.363	12.345	12.786	11.445	13.875	13.05	12.693	12.391	12.202	11.941	12.542	13.133
ITGB2	8.838	8.732	6.938	8.763	9.441	7.092	9.336	8.584	8.967	9.536	7.023	9.521	9.326	8.312	8.995	9.797	8.729	7.14	7.503	10.402	8.393	8.851	8.473	8.295
ITGB3	6.713	5.552	7.2	6.461	8.293	7.24	6.12	7.858	5.977	6.174	6.448	7.642	6.974	6.896	6.102	6.265	5.882	7.251	6.234	5.509	6.516	6.758	7.508	7.919
ITGB4	10.498	8.006	8.653	8.43	8.441	7.865	7.561	8.906	8.054	7.908	7.591	8.826	8.537	8.95	7.568	10.091	8.546	7.801	8.95	7.595	8.15	7.194	7.596	7.402
ITK	8.971	9.767	10.693	8.222	8.82	10.8	8.135	8.293	8.648	8.594	10.522	8.748	8.49	8.765	8.008	9.43	9.294	8.087	9.354	8.765	8.327	9.147	8.235	8.221
JAK1	10.076	10.13	9.598	10.8	10.522	9.777	10.978	10.327	10.517	10.123	10.062	10.594	10.616	10.412	9.843	9.624	10.229	10.903	10.45	9.87	10.61	10.703	10.547	10.471
JAK2	7.883	9.349	8.124	9.288	8.908	8.153	9.107	8.931	8.791	9.312	8.748	9.358	9.147	9.147	8.702	13.363	9.064	8.087	10.15	9.437	9.624	9.437	9.198	9.484
JAK3	8.409	8.775	6.25	7.763	7.682	6.265	7.64	8.246	7.19	8.376	6.301	8.844	8.228	7.352	7.508	8.729	7.656	5.13	6.295	7.892	6.688	6.281	7.2	6.681
JAM3	8.312	8.549	8.678	8.86	7.892	9.18	8.165	8.484	8.89	9.134	8.297	8.944	8.765	8.732	7.946	7.984	10.455	7.898	8.791	8.634	8.412	8.222	8.638	8.622
JAML	9.698	9.913	10.279	9.152	8.594	10.173	9.79	8.884	9.74	9.833	9.479	9.604	9.773	9.082	9.358	10.789	9.843	8.361	9.446	10.166	9.198	9.195	9.161	10.183
KIR3DL1	8.232	8.416	9.578	6.881	6.301	9.988	5.793	7.108	7.915	6.211	9.786	6.37	7.46	7.672	5.666	6.869	8.33	8.76	6.959	7.624	7.092	7.194	7.18	7.937
KIR3DL2	8.589	8.578	9.614	7.156	8.182	9.833	7.709	7.785	8.258	6.919	9.344	7.099	8.058	8.395	7.656	9.215	9.107	9.982	8.395	8.004	6.295	7.411	7.919	6.803
KIR3DL3	8.116	8.044	9.046	7.217	7.375	8.912	7.511	7.31	7.453	6.662	8.886	6.164	7.656	7.779	7.274	8.5	8.271	8.878	7.905	7.352	6.125	7.64	7.541	7.079
KIT	6.839	4.731	5.208	6.25	4.937	6.611	5.666	6.443	5.27	5.844	5.341	6.566	6.12	6.211	5.481	4.613	6.211	6.211	5.341	5.93	7.127	5.922	5.632	6.993
KLRB1	5.341	5.647	5.594	7.483	7.846	3.402	5.594	6.415	7.046	8.173	4.859	8.771	7.767	7.79	7.289	4.439	7.394	4.676	5.499	6.808	5.937	5.341	8.333	4.634
KLRC1	8.381	8.293	9.539	8.18	7.041	9.667	8.32	7.554	8.135	7.818	9.172	6.793	7.961	7.769	7.937	8.476	7.682	8.612	7.964	8.105	8.188	8.597	7.813	7.332
