symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
MUC1	6.506	7.127	3.742	7.132	4.937	6.364	4.215	8.462	5.518	9.33	5.563	7.352	4.921	6.265	5.606	4.349	4.921	4.17	5.183	8.689	5.937	4.937	3.897	8.306
MX1	9.39	10.919	11.682	9.744	9.407	10.505	9.882	10.041	10.291	10.779	10.657	10.471	11.176	9.437	10.56	11.65	9.614	9.525	9.904	9.336	10.229	11.047	11.252	10.547
MYD88	10.11	10.302	10.471	10.13	10.649	10.818	10.03	9.756	9.908	10.72	9.859	9.866	10.354	9.92	10.15	9.509	9.807	10.471	9.773	9.707	10.682	10.402	10.643	10.251
NCAM1	9.939	8.855	10.004	8.156	8.886	10.072	7.471	8.216	7.767	7.745	9.69	7.194	7.767	7.915	7.902	8.91	8.075	8.06	8.689	8.054	7.446	7.795	7.919	7.554
NCF4	7.573	7.996	7.816	7.818	7.911	7.702	7.93	7.595	7.44	8.497	7.423	8.143	8.044	7.012	8.191	8.218	7.236	7.209	7.736	8.537	6.295	7.839	7.477	7.818
NCR1	6.019	6.146	7.018	6.328	6.164	7.046	5.251	6.019	5.27	5.27	6.741	5.183	5.183	5.463	5.183	5.714	5.392	5.36	5.778	5.183	6.198	5.815	5.762	5.36
NEFL	6.839	7.099	7.568	5.499	5.302	7.959	7.151	5.937	7.012	6.364	7.306	4.991	6.526	6.388	7.028	7.32	6.858	8.937	6.476	6.913	6.824	7.16	7.127	7.541
NFATC1	7.573	7.084	7.965	7.649	7.449	7.224	7.232	8.438	7.738	7.483	6.788	8.309	8.075	8.004	7.028	7.921	7.613	7.232	6.641	6.455	6.824	7.32	7.616	8.449
NFATC2	11.541	9.833	8.486	8.167	8.713	10.183	9.707	9.481	9.859	9.777	9.08	10.004	9.218	9.39	10.343	9.959	10.88	10.535	11.776	9.79	8.89	9.364	9.198	10.455
NFATC3	10.291	8.783	9.004	10.091	9.371	10.279	10.703	9.236	9.195	9.513	8.427	9.164	9.74	9.423	8.568	9.261	9.185	8.963	8.361	9.27	10.317	9.398	9.604	9.767
NFATC4	9.06	9.426	9.368	8.188	8.206	9.423	7.283	7.992	8.119	8.012	9.257	8.606	8.113	8.693	8.342	8.791	8.571	9.707	8.06	8.197	7.503	7.992	8.029	7.35
NFKB1	7.104	7.497	7.659	9.107	7.953	7.734	8.218	8.293	7.317	8.273	7.44	8.6	8.121	7.32	7.85	6.131	6.919	6.875	7.202	7.908	7.964	8.615	7.508	7.898
NFKB2	9.643	10.402	9.349	8.915	10.072	8.178	9.652	9.882	9.371	9.939	10.101	10.11	10.101	10.444	10.317	10.285	9.69	8.6	11.682	9.592	10.237	9.874	9.396	9.866
NFKBIA	10.826	11.576	10.541	12.246	11.65	5.778	10.262	11.624	11.941	11.881	12.693	12.051	11.682	11.397	12.109	10.72	11.682	9.744	12.443	10.682	11.65	12.051	11.47	12.078
NLRC5	8.752	7.767	7.783	8.471	9.095	8.958	8.806	7.808	8.473	8.044	7.841	9.34	8.931	8.813	7.724	10.327	8.99	10.237	7.808	8.55	9.176	7.598	9.185	7.898
NLRP3	8.156	8.435	9.949	7.748	7.607	9.506	7.689	8.09	7.525	8.029	8.934	7.634	7.579	7.689	7.554	8.021	7.375	6.688	8.251	7.767	6.415	8.414	7.084	8.024
NOD1	9.561	9.33	10.671	8.702	8.216	12.391	8.755	8.841	8.66	8.802	10.123	8.494	8.813	9.006	9.128	9.652	9.381	9.859	9.874	8.644	8.65	8.91	8.947	8.333
NOD2	7.058	6.681	7.136	8.802	7.363	8.126	7.709	7.073	6.547	7.44	7.204	7.27	8.019	6.448	6.35	7.734	6.506	8.915	6.892	7.565	7.986	6.863	7.785	7.24
NOL7	8.937	7.145	6.476	9.198	9.682	6.793	11.808	9.74	9.254	9.205	6.701	8.783	9.542	8.804	9.112	6.448	8.525	6.603	9.634	9.168	10.291	9.993	9.265	10.196
NOS2	5.699	3.239	3.742	5.251	4.757	5.518	2.35	5.762	3.324	4.129	5.006	5.183	4.308	4.522	5.552	2.991	4.257	4.676	4.14	4.113	4.15	6.863	8.067	5.989
NOTCH1	8.146	8.015	7.703	8.947	7.942	7.339	8.327	9.057	8.76	9.068	7.495	8.713	8.653	8.721	8.717	8.791	9.134	7.339	10.279	8.619	8.008	9.364	8.606	8.75
NRP1	11.368	11.221	9.33	10.779	10.61	8.054	11.014	10.637	10.594	11.047	10.572	11.014	10.779	10.671	11.65	11.776	11.808	9.344	11.321	10.671	10.203	11.151	10.173	9.959
NT5E	11.252	10.166	9.898	8.653	10.196	8.316	10.547	9.715	11.047	10.237	8.663	10.291	10.657	10.072	11.599	10.56	9.398	7.709	9.859	10.123	10.671	9.982	9.782	9.47
NUBP1	6.288	5.328	4.14	8.64	7.818	3.742	8.476	8.552	6.681	6.234	4.859	7.908	7.558	7.721	5.38	4.081	5.302	5.36	5.435	6.408	8.15	6.803	7.717	7.571
NUP107	11.221	9.92	10.085	10.317	9.66	11.368	10.522	9.847	9.707	9.874	9.965	9.371	10.004	9.506	10.737	10.547	9.624	10.622	10.08	9.426	10.11	10.354	10.03	10.327
OAS3	8.344	8.354	8.459	9.312	9.283	8.785	8.634	9.109	8.954	8.571	8.167	8.975	9.283	8.484	9.381	8.054	8.675	9.265	9.312	8.381	9.159	9.539	9.553	9.43
OSM	7.992	6.25	7.442	6.288	7.837	7.37	6.625	6.733	5.9	5.911	7.032	7.063	6.174	7.508	7.703	7.517	7.434	7.37	7.31	6.582	6.415	6.06	7.18	6.586
PASD1	8.357	3.571	3.742	7.818	3.968	4.041	9.47	3.757	3.324	3.048	3.512	3.154	3.203	3.618	3.702	3.778	3.897	3.778	3.276	3.203	3.371	3.402	3.54	3.54
PAX5	8.051	8.258	8.799	7.426	6.359	8.873	7.399	7.627	7.046	7.175	8.449	6.981	6.566	6.966	7.87	8.49	7.505	8.49	8.17	7.522	7.848	7.605	7.352	6.455
PBK	9.002	8.32	8.16	9.095	8.675	9.31	9.185	8.357	8.488	8.232	8.271	7.758	8.09	7.846	9.002	8.173	7.888	10.004	7.783	7.981	8.871	8.337	8.796	9.06
PDCD1	8.455	7.032	7.535	6.501	7.607	7.653	6.611	7.202	7.767	5.957	7.551	6.812	5.685	7.573	8.268	7.87	7.505	6.938	7.689	7.041	5.584	7.007	6.402	6.09
PDCD1LG2	5.594	4.829	5.793	6.364	7.108	6.725	5.449	6.376	4.522	5.911	5.509	7.314	5.714	4.676	5.77	5.157	5.07	3.978	5.046	6.211	4.15	5.552	5.232	4.634
PDGFC	8.143	7.919	8.309	8.931	9.208	8.43	8.39	7.984	8.589	8.732	8.333	8.726	8.366	8.121	8.067	7.672	8.638	7.695	7.551	7.776	8.944	9.387	8.275	7.755
PDGFRB	9.536	9.539	9.898	9.807	9.314	10.02	10.302	10.173	10.455	10.61	10.139	10.671	10.682	10.512	8.6	9.087	11.881	8.841	10.13	10.512	9.736	9.736	9.715	9.715
PECAM1	8.423	7.727	6.443	12.596	9.874	3.402	9.614	10.779	9.892	11.47	5.947	10.15	10.237	9.929	9.159	6.533	10.959	6.164	8.395	10.833	9.371	9.898	10.052	9.582
PIK3CD	9.172	8.073	8.445	7.915	8.024	8.9	9.006	7.839	7.902	8.523	8.482	8.622	8.39	8.64	8.067	8.574	8.146	8.971	8.137	9.053	7.808	7.827	8.275	7.372
PIK3CG	8.817	8.098	8.145	7.61	7.888	9.131	7.776	7.535	7.841	8.473	8.199	8.281	8.16	7.769	7.679	8.476	7.795	8.704	8.748	8.52	7.588	8.213	8.024	7.792
PIN1	8.625	8.235	7.568	9.268	9.116	7.023	9.484	9.128	9.509	8.663	7.194	8.732	9.032	9.201	9.176	7.858	9.057	7.591	8.666	7.917	9.349	8.796	9.396	9.561
PLA2G1B	7.867	7.888	8.432	6.913	5.947	8.752	7.197	7.222	7.012	7.092	8.278	6.164	7.012	7.068	7.692	7.251	6.741	7.669	7.327	7.776	8.069	7.856	6.155	7.204
PLA2G6	8.625	8.675	7.687	8.266	9.542	6.265	8.447	7.505	9.971	8.297	7.012	9.1	8.875	9.116	9.317	6.146	7.434	5.762	11.047	8.967	9.908	8.163	8.934	9.782
PLAU	9.134	9.034	8.732	9.413	7.9	9.044	8.937	8.732	8.689	9.1	8.958	8.937	9.208	8.443	8.631	9.553	8.898	8.421	9.463	9.152	8.008	8.695	8.288	8.393
PLAUR	9.027	9.257	8.993	8.612	8.087	10.657	9.048	8.627	8.288	8.381	9.098	8.357	8.734	8.031	8.963	10.444	8.757	8.627	8.781	8.781	7.446	8.176	8.199	8.912
PMCH	8.126	7.934	8.275	7.306	6.164	9.536	7.992	7.145	8.224	7.598	8.383	6.258	7.108	7.18	7.81	8.004	7.923	9.458	8.113	7.714	8.69	8.397	7.616	8.393
PNMA1	8.65	7.672	7.479	7.627	8.188	8.036	9.152	8.293	8.615	8.447	7.767	8.352	7.908	7.721	7.743	7.337	8.418	7.727	7.939	8.441	8.393	7.268	7.642	8.898
POLR2A	12.144	11.808	11.599	11.47	9.715	10.703	11.067	10.535	10.56	10.48	12.109	10.183	10.123	10.56	10.938	11.881	10.505	9.852	10.229	10.389	10.327	10.594	10.091	9.773
POU2AF1	8.077	8.143	9.143	7.467	7.588	8.724	8.113	7.37	7.108	7.984	8.416	7.194	7.513	7.116	7.483	8.15	7.529	7.579	8.193	7.352	7.314	7.246	7.2	7.156
POU2F2	5.405	5.509	5.405	4.566	4.38	6.438	5.535	5.022	4.6	6.318	5.13	6.962	5.785	4.6	5.714	6.484	5.022	5.957	5.584	5.341	5.584	5.006	4.294	5.022
PPARG	9.312	9.053	9.481	9.423	8.975	9.283	9.225	8.512	8.405	8.878	9.484	7.99	8.416	8.14	9.819	8.092	8.306	8.036	9.242	8.98	8.767	9.1	8.374	8.617
PPBP	4.844	4.129	2.883	4.566	5.242	6.526	6.054	4.458	4.329	4.586	4.6	4.203	3.825	4.191	4.308	3.618	4.081	6.295	5.046	5.13	3.897	8.041	4.478	8.732
PPIA	9.458	7.513	6.938	8.06	9.582	7.705	9.564	9.371	9.724	9.205	7.185	8.95	8.558	9.371	9.201	7.274	10.317	9.423	8.975	9.467	10.02	8.634	9.564	9.917
PRAME	14.422	10.367	10.693	8.937	8.165	11.031	8.781	8.99	9.66	7.554	10.779	8.173	8.376	8.324	8.578	9.453	8.791	9.381	9.168	8.293	7.127	7.908	8.067	7.664
PRF1	8.89	9.236	9.728	8.653	9.528	9.819	8.844	8.689	8.416	8.459	9.268	8.441	8.211	8.622	7.902	8.767	8.967	9.107	8.804	9.095	8.713	7.977	8.531	7.806
PRG2	8.126	8.603	8.947	8.488	6.111	9.988	7.32	8.352	7.95	7.217	8.95	8.213	8.445	8.886	8.079	8.281	7.405	9.016	8.584	8.381	7.156	8.012	8.306	7.876
PRKCD	10.8	8.737	6.54	9.242	8.222	3.742	10.101	8.568	8.781	9.398	6.839	8.549	8.734	8.54	9.92	7.95	8.001	6.725	9.298	8.875	9.328	8.457	8.293	8.724
PRKCE	6.925	6.925	7.986	7.886	7.581	7.766	7.95	7.475	7.339	6.733	7.687	7.605	8.503	8.082	7.236	7.399	7.088	8.327	7.222	6.35	8.838	7.456	9.107	7.999
PRM1	9.279	8.687	9.091	7.346	7.123	9.756	7.801	7.653	7.579	6.887	9.119	6.048	7.386	8.359	7.165	9.116	7.601	8.906	7.571	7.426	6.125	7.431	7.642	6.37
PRPF38A	10.649	10.21	11.342	10.547	9.732	13.473	10.402	10.229	10.262	10.062	11.176	9.484	10.052	9.542	10.196	10.13	9.965	12.443	10.637	10.062	10.139	10.637	10.072	10.091
PSEN1	9.833	9.592	10.818	9.398	8.785	11.576	9.098	10.007	9.393	9.381	10.262	9.381	9.247	9.294	8.919	9.044	9.349	9.732	9.484	9.648	9.573	9.913	9.724	10.101
PSEN2	7.561	8.199	8.886	9.294	8.806	8.113	8.281	9.797	8.967	8.813	7.853	9.002	8.993	9.74	7.618	8.199	8.81	7.27	9.786	8.202	9.168	9.257	9.128	10.123
PSMB10	8.958	9.152	7.959	9.326	9.782	8.079	9.463	8.95	8.844	9.124	7.939	9.47	9.614	9.489	8.663	11.031	9.044	7.892	8.048	8.906	9.908	7.959	9.598	8.525
PSMB7	11.421	10.56	9.314	11.151	11.754	8.851	12.48	10.919	11.151	11.252	9.702	10.978	10.671	11.089	11.13	9.393	10.978	10.637	11.067	11.198	11.014	11.65	11.089	11.397
PSMB8	8.271	10.076	6.913	10.88	11.067	5.518	10.498	11.13	9.993	10.178	7.748	10.455	10.21	10.36	9.503	9.913	9.288	8.008	7.488	10.657	10.88	10.15	11.275	10.8
PSMB9	10.101	11.516	10.746	10.22	11.151	10.72	10.471	10.682	9.698	10.101	10.851	10.229	10.48	10.173	10.21	12.051	9.732	10.8	10.522	10.88	10.572	10.61	10.746	9.592
PSMD7	11.736	12.025	10.978	11.904	10.997	11.708	12.345	10.649	10.72	11.368	11.089	10.196	10.978	10.572	10.865	12.078	10.643	10.703	10.978	10.21	11.837	10.737	11.047	10.498
PTGDR2	8.188	8.044	9.294	7.541	5.947	9.347	8.075	7.638	8.105	7.511	8.54	7.099	7.332	7.642	7.923	7.727	8.028	9.208	8.271	8.008	7.503	7.788	7.24	6.938
PTGS2	7.664	9.221	11.321	7.965	7.346	11.275	8.273	7.858	8.503	8.075	9.288	7.624	7.937	8.18	8.637	9.168	8.49	10.11	9.236	7.953	8.188	9.236	7.568	8.704
PTPRC	7.703	8.619	6.82	8.971	9.349	5.977	9.283	8.841	9.521	9.528	6.421	9.573	9.569	8.934	8.937	9.573	9.221	6.138	7.367	10.091	9.023	8.55	8.961	8.898
PVR	10.229	10.196	8.709	9.39	9.971	9.777	10.535	10.251	10.535	9.767	8.52	9.807	9.924	10.703	10.682	7.964	10.21	11.221	11.837	9.732	9.609	9.794	10.622	10.938
PYCARD	9.47	9.481	8.374	9.087	9.413	8.637	7.698	8.653	7.915	7.44	8.562	8.316	8.216	9.156	7.442	9.634	8.253	8.775	8.627	8.193	8.675	7.479	7.956	7.402
RAG1	8.381	9.077	9.5	7.804	6.468	9.965	8.143	7.923	8.246	7.535	9.044	6.591	7.541	7.477	8.107	8.402	7.908	9.368	8.459	7.961	8.103	8.288	7.666	8.069
REL	8.327	7.471	8.067	8.796	8.054	7.977	7.999	8.884	7.97	7.883	7.953	8.372	8.18	7.975	7.886	7.883	7.046	6.497	7.748	7.841	8.55	8.427	7.964	8.178
RELA	9.582	8.399	6.793	9.592	8.971	2.562	8.95	9.185	8.802	8.973	7.738	8.589	8.482	8.425	9.413	5.911	8.206	6.526	8.026	8.542	9.303	9.221	8.884	8.881
RELB	6.06	6.164	4.921	7.795	8.531	4.676	7.573	8.153	8.199	7.495	5.392	8.631	8.603	8.14	8.129	5.855	7.664	5.93	7.736	6.641	8.507	7.175	7.841	8.511
REPS1	9.312	6.281	5.967	9.06	10.01	5.208	9.364	9.506	9.319	8.785	6.533	9.34	9.762	9.874	8.919	6.364	8.479	7.22	9.582	8.594	10.004	9.939	10.01	8.796
RIPK2	7.341	8.915	7.937	8.204	9.484	8.3	8.732	8.775	8.9	9.904	7.755	8.435	8.441	9.128	10.123	7.145	8.129	9.124	9.493	9.748	8.975	8.963	8.74	8.867
ROPN1	9.14	9.393	10.233	8.105	7.829	11.808	8.702	8.372	8.459	8.359	10.091	7.025	8.383	8.775	8.846	9.823	9.156	10.938	9.384	8.5	8.871	8.817	8.484	8.385
RORA	9.667	9.539	9.384	8.222	10.547	8.549	9.639	10.48	9.954	9.393	9.242	10.091	9.66	10.682	9.732	8.52	10.091	9.185	10.123	9.085	9.521	10.02	10.427	9.878
RORC	5.9	8.906	7.591	10.56	9.558	7.464	8.165	10.007	9.364	8.344	9.663	10.03	10.535	9.949	10.229	8.188	10.48	11.106	9.988	9.604	9.777	8.958	10.88	11.198
RPS6	16.441	13.473	13.679	13.679	16.441	14.654	15.335	13.584	13.363	14.654	13.679	14.422	13.875	13.31	13.875	14.203	14.654	14.203	15.335	13.875	14.203	13.363	13.584	13.584
RRAD	7.964	6.48	7.136	7.664	7.423	7.442	6.242	6.443	6.308	6.364	6.591	6.611	5.785	6.839	6.526	8.092	6.816	7.156	6.308	6.265	6.595	6.892	6.468	5.77
RUNX1	5.957	6.987	4.546	8.99	8.52	6.138	8.848	7.745	7.525	8.455	6.754	8.757	8.552	7.209	7.5	8.457	8.306	5.449	6.382	7.197	6.997	7.662	7.222	7.584
RUNX3	7.417	8.248	7.634	7.689	7.977	7.837	7.581	7.05	7.088	8.165	7.687	8.449	7.81	7.5	7.408	7.32	7.853	6.799	7.394	8.012	7.27	7.116	7.274	7.127
S100A12	8.18	8.826	10.085	7.93	7.736	10.541	7.605	7.992	8.216	7.656	11.941	6.48	7.568	8.197	8.129	8.555	8.316	9.328	8.895	7.434	7.9	8.884	7.488	8.55
S100A7	9.634	10.522	12.48	8.871	7.876	13.875	8.717	8.961	9.143	8.69	13.221	6.938	8.486	9.39	9.484	9.773	9.702	11.624	10.594	9.077	8.327	9.748	8.484	9.147
S100A8	7.104	7.337	7.679	9.667	8.361	8.224	6.455	7.839	7.378	6.987	9.47	7.867	6.896	6.896	7.834	8.993	7.488	8.079	7.511	7.493	5.727	8.5	6.741	9.393
S100B	7.541	7.698	8.75	6.553	5.13	8.281	6.484	7.063	6.938	6.468	8.176	6.896	6.265	6.421	7.2	7.145	6.48	7.073	6.625	6.242	5.77	7.22	5.989	6.242
SAA1	5.13	16.441	12.923	13.802	13.05	6.82	9.23	10.818	11.576	13.802	12.596	15.335	10.637	13.363	13.584	13.679	9.082	10.768	6.258	14.924	10.997	13.31	14.203	10.833
SAP130	8.258	6.125	5.882	9.39	9.823	4.28	9.667	9.319	8.867	8.204	5.855	8.851	8.869	8.52	8.459	5.815	6.553	6.863	7.354	8.071	9.087	8.75	8.836	9.667
SBNO2	7.9	10.03	6.887	9.016	8.699	6.335	8.973	9.164	8.704	8.937	8.82	9.107	8.944	8.995	9.971	9.663	8.121	6.578	9.082	8.156	8.452	8.998	8.826	9.048
SDHA	10.173	10.622	8.486	10.602	9.939	11.776	10.427	11.516	10.48	10.072	9.982	9.92	10.091	10.522	11.067	9.185	10.11	12.202	11.151	10.903	10.498	10.671	10.56	10.768
SELE	6.741	7.378	8.251	6.618	5.714	8.64	6.497	6.863	6.547	6.526	8.206	6.102	6.295	7.036	6.281	7.018	7.018	7.977	7.698	6.455	7.213	7.769	6.468	7.14
SELL	7.381	8.309	9.036	8.001	8.335	9.437	7.766	8.281	8.438	8.49	8.702	8.405	7.986	7.748	7.31	8.512	8.202	10.139	8.923	8.094	7.848	8.669	7.727	8.681
SELPLG	9.279	8.452	9.176	7.886	7.846	9.463	7.616	8.132	8.288	8.062	8.702	8.224	8.318	8.462	8.143	8.903	8.546	8.165	7.977	8.752	7.659	7.818	7.863	7.402
SEMG1	7.89	7.222	7.9	6.586	5.13	9.168	7.568	6.019	7.44	7.428	7.662	5.584	6.652	6.408	7.642	6.974	7.236	9.08	7.8	6.953	8.167	7.992	6.788	8.145
SERPINB2	3.458	3.571	4.14	8.687	3.677	5.778	4.4	3.757	3.324	3.54	4.294	3.812	4.113	3.742	3.825	4.17	4.14	3.571	3.571	3.601	4.15	3.402	3.968	5.022
SERPING1	11.808	13.05	12.345	14.924	11.516	8.268	13.31	14.203	13.875	12.854	11.397	13.679	14.422	14.203	13.221	11.941	13.978	13.584	11.445	13.978	14.924	13.221	14.422	14.422
SF3A3	11.754	10.322	10.622	10.818	11.541	11.941	11.198	9.773	10.007	10.389	10.728	10.13	10.03	9.79	10.703	9.748	10.374	10.302	10.653	9.674	10.779	10.779	10.279	10.22
SH2B2	7.217	5.855	6.572	5.967	7.656	7.306	6.506	7.145	6.547	6.586	6.382	7.194	7.032	7.054	7.26	6.448	6.754	7.953	7.865	7.041	7.939	6.443	7.603	7.548
SH2D1A	4.655	5.714	4.14	4.308	6.506	3.402	6.174	4.859	4.844	5.815	4.113	7.573	6.376	5.1	4.6	5.392	5.251	3.571	5.584	6.069	4.613	4.844	5.833	3.825
SH2D1B	7.964	8.881	10.412	8.116	7.865	11.321	7.79	8.145	8.258	8.021	10.052	6.913	7.423	8.268	9.072	8.423	8.525	10.196	9.426	7.942	7.986	8.783	7.736	8.202
SIGIRR	8.993	8.098	8.558	8.019	7.801	8.558	7.495	8.137	8.497	8.648	8.427	8.52	8.409	8.615	8.297	8.791	8.881	9.08	11.176	9.036	8.188	8.261	8.813	7.858
SIGLEC1	10.402	10.123	11.624	8.757	9.265	12.202	9.303	8.813	9.095	9.349	10.13	8.963	9.128	8.934	9.859	11.047	9.496	11.014	8.146	9.87	8.592	9.643	9.358	8.931
SLAMF1	5.762	6.497	7.123	5.552	5.947	7.453	5.046	5.937	5.778	7.228	6.82	7.145	5.518	5.9	6.234	5.666	5.727	7.032	6.812	6.582	6.415	6.662	5.42	6.586
SLAMF6	5.9	6.625	7.05	6.741	7.095	7.607	5.815	6.48	5.74	7.467	7.204	6.845	5.751	5.647	6.762	6.533	5.552	7.529	7.367	7.217	6.295	7.046	5.632	7.511
SLAMF7	8.581	9.426	9.393	7.856	7.503	10.15	8.065	8.067	7.95	8.763	9.828	7.926	8.346	7.946	8.385	8.306	7.863	9.288	9.225	8.923	7.446	8.884	7.471	8.288
SLC11A1	8.568	8.235	8.208	8.258	8.069	8.69	8.041	8.054	7.601	7.848	8.191	7.475	7.386	7.228	8.342	8.743	7.917	8.91	8.012	8.612	8.103	7.268	7.579	8.592
SMAD2	9.656	8.029	8.975	9.732	9.69	8.586	10.343	10.052	9.634	9.92	8.246	9.773	9.14	9.446	9.185	7.64	8.881	9.786	8.537	9.506	9.592	10.343	9.513	10.229
SMAD3	12.109	10.11	9.66	10.15	10.183	10.237	10.649	10.851	9.767	10.374	10.183	10.279	9.882	9.643	11.275	9.006	10.72	10.15	10.041	9.496	10.251	10.36	9.814	10.444
SMPD3	6.376	5.509	6.335	5.606	5.392	7.108	5.328	5.499	5.27	5.36	5.882	4.829	5.27	5.1	5.575	6.078	5.509	6.342	5.882	5.463	5.584	5.833	5.07	5.449
SOCS1	9.095	7.767	8.275	7.818	9.336	8.239	8.153	8.669	7.453	7.672	8.11	8.333	8.586	8.071	6.913	8.004	7.42	7.638	7.092	7.892	6.947	7.473	7.785	7.473
SPA17	9.69	9.481	11.031	9.225	8.146	11.089	8.871	8.523	9.027	8.775	10.08	8.077	8.512	8.402	8.589	9.496	8.578	8.387	8.91	8.06	9.098	8.5	9.016	9.027
SPACA3	7.831	7.829	8.486	6.288	8.76	9.598	7.302	7.653	7.588	6.468	8.333	7.956	7.656	8.082	8.202	7.87	8.342	9.446	8.374	7.672	6.415	6.395	7.372	6.559
SPANXB1	6.102	6.725	7.535	7.672	6.111	7.988	5.869	5.647	7.738	7.467	10.317	5.315	7.573	8.737	6.06	7.428	7.558	8.213	6.501	5.315	5.937	7.917	6.603	8.627
SPINK5	6.953	7.165	7.751	7.505	6.758	7.921	7.251	6.516	6.633	6.845	7.734	6.887	8.028	6.281	6.762	7.915	7.046	7.317	7.603	6.725	8.327	7.558	7.497	7.618
SPN	7.944	8.271	7.734	7.26	7.483	7.573	6.839	6.919	6.185	7.898	7.727	8.006	7.831	7.544	7.402	9.376	7.204	7.381	6.681	7.87	6.595	6.395	6.526	4.731
SPO11	7.748	6.869	8.327	6.402	6.674	8.906	7.437	6.328	7.012	6.947	7.743	6.102	7.108	6.591	7.464	7.108	7.63	8.452	7.213	6.668	8.482	7.513	7.127	7.685
SPP1	12.295	13.875	8.058	11.421	13.802	8.335	14.924	11.47	11.089	11.275	13.31	12.638	12.246	14.422	12.202	11.754	11.47	7.792	11.031	10.768	10.919	11.975	9.949	10.737
SSX1	5.9	6.962	7.428	10.903	6.468	8.476	7.551	5.9	7.274	6.559	7.408	7.012	8.228	6.762	9.773	7.22	7.405	10.594	7.986	6.863	10.865	7.717	9.748	8.669
SSX4	6.839	7.513	8.16	6.701	5.778	9.682	7.738	7.26	7.274	7.194	8.266	4.349	7.314	7.386	7.471	7.662	8.056	9.087	8.004	6.938	7.964	7.64	7.054	8.235
ST6GAL1	10.48	11.106	10.48	11.941	11.089	10.938	10.8	12.345	12.391	12.025	10.978	12.391	12.202	12.246	10.903	10.196	12.025	11.151	11.198	12.596	12.246	11.397	11.837	13.31
STAT1	10.959	11.368	8.001	10.402	12.078	7.073	11.445	11.754	10.997	10.327	7.801	12.202	12.025	10.547	11.397	11.13	11.941	10.091	9.833	10.919	10.427	10.48	11.198	11.65
STAT2	11.65	10.737	9.082	10.671	10.096	8.239	11.13	10.354	10.374	10.471	9.634	11.089	11.736	11.047	10.374	11.221	10.505	11.397	11.005	11.65	11.47	10.978	11.031	10.36
STAT3	11.837	12.202	12.854	11.541	12.923	9.604	11.599	12.144	12.542	11.941	12.078	12.109	11.421	11.65	11.776	12.345	12.596	11.445	11.106	11.599	12.391	11.541	12.078	11.736
STAT4	7.456	7.513	7.93	7.294	7.402	8.143	7.18	8.113	8.199	7.89	7.717	8.275	8.295	8.092	8.178	7.477	7.818	7.483	7.571	7.972	9.67	7.74	7.394	7.511
STAT5B	8.826	8.838	9.161	9.159	8.571	9.47	9.358	9.913	9.075	9.74	9.172	9.33	9.393	9.686	9.364	8.366	8.867	8.395	9.674	9.971	9.652	10.072	9.349	9.336
STAT6	10.938	11.776	11.881	10.865	10.062	10.203	9.698	10.72	10.657	10.938	12.202	10.938	10.903	10.997	11.576	11.624	10.809	11.599	11.708	11.221	8.799	11.47	10.354	10.427
SYCP1	5.804	5.27	6.12	6.364	6.578	7.063	5.93	5.183	6.415	5.844	5.785	5.947	4.546	4.676	5.937	6.402	5.183	8.584	6.102	5.685	7.046	5.714	5.575	6.681
SYK	6.758	7.194	4.921	7.734	8.261	4.041	8.107	7.87	6.633	8.537	5.699	8.631	8.352	7.302	6.913	7.467	7.279	4.859	5.793	8.248	7.156	6.595	7.442	7.028
SYT17	7.937	7.289	7.792	9.116	7.618	7.824	6.559	8.767	6.131	7.132	7.495	7.967	7.685	7.613	7.372	7.17	6.553	7.453	7.337	7.132	6.415	7.028	6.832	7.618
TAB1	10.865	8.881	8.418	9.1	9.564	8.073	9.426	8.971	10.02	9.288	8.638	9.288	9.344	9.592	9.344	8.383	9.949	8.549	10.322	9.254	9.838	9.283	9.592	9.74
TAL1	9.34	9.152	10.541	8.193	8.273	11.252	8.342	8.185	7.841	8.062	9.929	7.769	8.132	8.359	8.584	9.288	8.695	10.959	8.473	8.129	8.327	9.016	8.34	8.195
TANK	9.949	9.128	8.051	10.833	10.594	8.609	11.047	10.166	10.938	9.892	8.923	10.36	10.498	10.262	10.671	10.004	9.866	10.833	10.682	10.237	10.649	10.21	10.327	10.237
TAP1	7.217	9.314	6.725	8.878	9.479	6.981	9.314	8.806	7.426	8.39	7.341	8.531	8.425	7.613	7.664	7.898	6.938	6.852	8.855	8.841	8.871	8.344	8.586	8.695
TAP2	10.343	10.978	10.649	9.437	10.11	10.978	9.971	9.549	9.674	9.166	10.919	9.624	9.874	10.291	9.667	11.176	9.674	10.455	9.949	9.614	10.067	9.595	10.237	9.66
TAPBP	10.919	12.693	13.978	10.21	11.495	8.435	11.776	10.88	11.304	11.221	12.923	11.445	11.881	11.837	12.025	13.802	11.541	10.865	12.078	10.746	12.078	11.421	11.516	11.221
TBK1	9.904	9.116	9.314	9.866	9.866	9.319	9.66	9.807	9.5	9.521	8.74	9.082	9.164	9.517	9.573	8.275	8.915	8.445	9.407	9.1	10.15	10.03	9.582	9.344
TBP	10.317	8.848	10.56	8.418	8.699	9.807	9.582	9.453	9.168	8.906	9.965	8.558	9.336	9.091	9.252	9.79	8.871	8.416	7.672	8.813	9.288	9.614	9.112	8.785
