"","datasetID","sampleID","predict.cluster","predict.cluster_withmultiple","NO.vote.1","NO.vote.2","NO.vote.3","NO.vote.4","NO.vote.5","NO.vote.6","NO.vote.7","class_1_vs_2.Pwilcox_greater","class_1_vs_3.Pwilcox_greater","class_1_vs_4.Pwilcox_greater","class_1_vs_5.Pwilcox_greater","class_1_vs_6.Pwilcox_greater","class_1_vs_7.Pwilcox_greater","class_2_vs_1.Pwilcox_greater","class_2_vs_3.Pwilcox_greater","class_2_vs_4.Pwilcox_greater","class_2_vs_5.Pwilcox_greater","class_2_vs_6.Pwilcox_greater","class_2_vs_7.Pwilcox_greater","class_3_vs_1.Pwilcox_greater","class_3_vs_2.Pwilcox_greater","class_3_vs_4.Pwilcox_greater","class_3_vs_5.Pwilcox_greater","class_3_vs_6.Pwilcox_greater","class_3_vs_7.Pwilcox_greater","class_4_vs_1.Pwilcox_greater","class_4_vs_2.Pwilcox_greater","class_4_vs_3.Pwilcox_greater","class_4_vs_5.Pwilcox_greater","class_4_vs_6.Pwilcox_greater","class_4_vs_7.Pwilcox_greater","class_5_vs_1.Pwilcox_greater","class_5_vs_2.Pwilcox_greater","class_5_vs_3.Pwilcox_greater","class_5_vs_4.Pwilcox_greater","class_5_vs_6.Pwilcox_greater","class_5_vs_7.Pwilcox_greater","class_6_vs_1.Pwilcox_greater","class_6_vs_2.Pwilcox_greater","class_6_vs_3.Pwilcox_greater","class_6_vs_4.Pwilcox_greater","class_6_vs_5.Pwilcox_greater","class_6_vs_7.Pwilcox_greater","class_7_vs_1.Pwilcox_greater","class_7_vs_2.Pwilcox_greater","class_7_vs_3.Pwilcox_greater","class_7_vs_4.Pwilcox_greater","class_7_vs_5.Pwilcox_greater","class_7_vs_6.Pwilcox_greater"
"110","CHCC_HBV","T665","4","4","0","0","1","6","0","0","0","7.52e-01","6.94e-01","1.00e+00","3.05e-01","4.07e-01","1.51e-03","2.85e-01","9.36e-01","1.00e+00","5.80e-01","7.73e-02","5.52e-01","3.09e-01","6.57e-02","1.00e+00","1.51e-01","1.11e-03","9.91e-07","4.23e-12","8.15e-12","2.53e-13","3.51e-10","4.22e-11","1.57e-11","6.99e-01","4.26e-01","8.50e-01","1.00e+00","8.48e-01","8.13e-01","5.95e-01","9.24e-01","9.99e-01","1.00e+00","1.54e-01","4.48e-03","9.99e-01","4.51e-01","1.00e+00","1.00e+00","1.93e-01","9.96e-01"
"111","CHCC_HBV","T671","1","1","5","3","3","0","2","0","1","1.95e-03","1.08e-11","1.42e-15","4.26e-10","8.22e-13","6.06e-17","1.00e+00","1.12e-03","2.33e-12","3.21e-03","1.14e-11","7.39e-10","1.00e+00","9.99e-01","6.71e-10","9.88e-01","6.48e-11","4.49e-11","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.20e-02","9.86e-01","1.00e+00","9.97e-01","1.17e-02","6.80e-07","3.49e-12","8.10e-03","1.00e+00","1.00e+00","1.00e+00","9.88e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.46e-02","9.92e-01","5.45e-04"
"112","CHCC_HBV","T685","4","4","0","2","0","6","0","0","0","8.20e-01","4.00e-01","1.00e+00","9.87e-02","9.59e-02","7.02e-02","2.13e-01","5.10e-04","1.00e+00","3.51e-02","8.48e-04","3.05e-01","6.03e-01","1.00e+00","1.00e+00","1.93e-01","3.54e-02","8.46e-02","1.38e-12","6.90e-06","1.05e-14","5.07e-09","1.14e-13","8.81e-12","9.03e-01","9.66e-01","8.09e-01","1.00e+00","8.96e-01","7.19e-01","9.05e-01","9.99e-01","9.65e-01","1.00e+00","1.05e-01","6.17e-01","9.30e-01","6.98e-01","9.16e-01","1.00e+00","2.89e-01","3.99e-01"
"113","CHCC_HBV","T695","3","3","1","0","6","0","3","2","0","2.73e-02","1.00e+00","1.49e-01","9.19e-01","3.22e-01","7.22e-07","9.80e-01","1.00e+00","9.27e-01","1.00e+00","1.00e+00","9.45e-01","6.75e-11","5.68e-14","3.26e-17","1.21e-09","5.14e-15","3.20e-18","8.52e-01","7.36e-02","1.00e+00","1.00e+00","1.00e+00","7.10e-01","8.27e-02","6.12e-08","1.00e+00","6.03e-07","8.99e-02","7.65e-04","6.81e-01","4.68e-04","1.00e+00","1.42e-06","9.11e-01","3.60e-02","1.00e+00","5.62e-02","1.00e+00","2.92e-01","9.99e-01","9.68e-01"
"114","CHCC_HBV","T713","7","7","0","1","0","0","3","2","5","2.48e-01","8.62e-02","9.43e-01","1.00e+00","9.37e-01","1.00e+00","7.87e-01","3.27e-04","3.20e-02","9.82e-01","4.76e-02","1.00e+00","9.15e-01","1.00e+00","9.61e-01","1.00e+00","1.00e+00","1.00e+00","5.78e-02","9.68e-01","3.90e-02","1.00e+00","1.00e+00","1.00e+00","1.13e-06","1.85e-02","4.54e-11","2.91e-05","1.03e-02","9.63e-01","6.33e-02","9.53e-01","3.93e-12","1.42e-04","9.90e-01","1.00e+00","1.57e-13","1.12e-06","4.42e-19","2.16e-10","3.86e-02","3.81e-06"
"115","CHCC_HBV","T715","4","4","0","0","0","6","2","1","3","7.15e-01","2.74e-01","1.00e+00","9.99e-01","9.67e-01","1.00e+00","3.26e-01","4.42e-02","1.00e+00","7.89e-01","3.71e-01","1.00e+00","7.28e-01","9.57e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.42e-15","4.59e-13","1.44e-18","3.88e-10","1.14e-13","3.70e-08","6.21e-04","2.15e-01","3.91e-08","1.00e+00","5.48e-01","9.59e-01","3.36e-02","6.32e-01","6.56e-11","1.00e+00","4.54e-01","9.46e-01","8.93e-12","1.36e-05","4.51e-15","1.00e+00","4.30e-02","5.91e-02"
"116","CHCC_HBV","T721","7","7","0","1","0","3","2","4","6","9.80e-01","9.64e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.73e-02","5.33e-05","1.00e+00","9.54e-01","1.00e+00","1.00e+00","3.63e-02","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.54e-12","4.63e-04","5.42e-12","8.79e-01","9.99e-01","1.00e+00","5.55e-09","4.78e-02","1.28e-13","1.23e-01","9.79e-01","1.00e+00","1.47e-11","6.45e-07","1.80e-16","8.50e-04","2.11e-02","1.00e+00","6.06e-17","1.80e-11","2.96e-19","2.78e-13","1.86e-07","7.63e-06"
"117","CHCC_HBV","T724","2","2","3","5","1","1","2","0","1","9.98e-01","3.37e-06","2.05e-05","5.21e-01","5.31e-10","2.76e-03","3.91e-03","1.42e-13","7.04e-12","3.62e-08","6.96e-12","2.46e-11","1.00e+00","1.00e+00","9.87e-01","1.00e+00","4.38e-07","3.17e-01","1.00e+00","1.00e+00","1.33e-02","8.20e-01","7.43e-08","1.54e-02","4.83e-01","1.00e+00","1.15e-05","1.83e-01","5.80e-08","2.05e-02","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.97e-01","1.00e+00","6.84e-01","9.85e-01","9.81e-01","5.23e-04"
"118","CHCC_HBV","T727","5","5","0","0","4","0","6","0","0","6.45e-02","9.98e-01","6.11e-02","1.00e+00","2.61e-02","4.42e-03","9.51e-01","1.00e+00","5.83e-01","1.00e+00","9.42e-01","6.31e-01","2.08e-03","6.30e-07","2.53e-05","1.00e+00","2.36e-05","8.14e-05","9.39e-01","4.19e-01","1.00e+00","1.00e+00","9.93e-01","8.78e-01","2.19e-05","1.01e-08","5.61e-05","5.79e-10","1.71e-09","7.45e-08","9.74e-01","5.90e-02","1.00e+00","7.46e-03","1.00e+00","8.15e-01","9.96e-01","3.72e-01","1.00e+00","1.23e-01","1.00e+00","1.96e-01"
"119","CHCC_HBV","T737","3","3","4","3","5","0","1","1","1","8.20e-02","9.92e-01","3.50e-13","8.07e-05","3.88e-10","1.56e-12","9.36e-01","1.00e+00","4.40e-12","9.22e-02","3.03e-05","2.74e-05","8.38e-03","2.76e-05","1.48e-18","8.60e-07","2.70e-14","3.30e-18","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.10e-01","1.00e+00","8.21e-08","3.93e-02","1.40e-01","1.00e+00","1.00e+00","1.00e+00","1.68e-09","9.61e-01","9.96e-01","1.00e+00","1.00e+00","1.00e+00","1.61e-07","8.66e-01","4.61e-03"
