"","datasetID","sampleID","predict.cluster","predict.cluster_withmultiple","NO.vote.1","NO.vote.2","NO.vote.3","NO.vote.4","NO.vote.5","NO.vote.6","NO.vote.7","class_1_vs_2.Pwilcox_greater","class_1_vs_3.Pwilcox_greater","class_1_vs_4.Pwilcox_greater","class_1_vs_5.Pwilcox_greater","class_1_vs_6.Pwilcox_greater","class_1_vs_7.Pwilcox_greater","class_2_vs_1.Pwilcox_greater","class_2_vs_3.Pwilcox_greater","class_2_vs_4.Pwilcox_greater","class_2_vs_5.Pwilcox_greater","class_2_vs_6.Pwilcox_greater","class_2_vs_7.Pwilcox_greater","class_3_vs_1.Pwilcox_greater","class_3_vs_2.Pwilcox_greater","class_3_vs_4.Pwilcox_greater","class_3_vs_5.Pwilcox_greater","class_3_vs_6.Pwilcox_greater","class_3_vs_7.Pwilcox_greater","class_4_vs_1.Pwilcox_greater","class_4_vs_2.Pwilcox_greater","class_4_vs_3.Pwilcox_greater","class_4_vs_5.Pwilcox_greater","class_4_vs_6.Pwilcox_greater","class_4_vs_7.Pwilcox_greater","class_5_vs_1.Pwilcox_greater","class_5_vs_2.Pwilcox_greater","class_5_vs_3.Pwilcox_greater","class_5_vs_4.Pwilcox_greater","class_5_vs_6.Pwilcox_greater","class_5_vs_7.Pwilcox_greater","class_6_vs_1.Pwilcox_greater","class_6_vs_2.Pwilcox_greater","class_6_vs_3.Pwilcox_greater","class_6_vs_4.Pwilcox_greater","class_6_vs_5.Pwilcox_greater","class_6_vs_7.Pwilcox_greater","class_7_vs_1.Pwilcox_greater","class_7_vs_2.Pwilcox_greater","class_7_vs_3.Pwilcox_greater","class_7_vs_4.Pwilcox_greater","class_7_vs_5.Pwilcox_greater","class_7_vs_6.Pwilcox_greater"
"14","TCGA_LIHC","TCGA.DD.AADP.01A","6","6","0","0","2","1","1","4","2","1.80e-01","1.00e+00","1.00e+00","9.99e-01","1.00e+00","9.99e-01","8.50e-01","1.00e+00","9.87e-01","1.00e+00","1.00e+00","1.00e+00","4.55e-08","5.01e-07","9.70e-02","9.35e-01","1.00e+00","9.77e-01","6.91e-05","1.34e-02","9.04e-01","9.92e-01","9.99e-01","9.79e-01","1.04e-03","7.56e-05","6.54e-02","8.39e-03","6.06e-01","9.19e-01","2.37e-04","3.73e-04","1.39e-04","5.59e-04","3.96e-01","6.01e-01","5.51e-04","2.33e-06","2.28e-02","2.13e-02","8.49e-02","4.16e-01"
"15","TCGA_LIHC","TCGA.DD.AACW.01A","5","3,5","3","0","4","0","4","1","0","3.91e-03","3.57e-01","1.94e-06","8.17e-01","3.10e-06","9.21e-09","9.98e-01","1.00e+00","3.45e-01","1.00e+00","4.47e-01","2.31e-01","6.46e-01","3.03e-08","3.41e-09","9.07e-01","3.51e-12","2.39e-13","1.00e+00","6.57e-01","1.00e+00","1.00e+00","1.00e+00","3.16e-01","1.85e-01","2.33e-09","9.35e-02","2.60e-10","1.76e-12","3.32e-06","1.00e+00","5.56e-01","1.00e+00","2.54e-04","1.00e+00","5.00e-01","1.00e+00","7.71e-01","1.00e+00","6.86e-01","1.00e+00","5.17e-01"
"16","TCGA_LIHC","TCGA.ZS.A9CD.01A","7","6,7","0","0","1","3","2","5","5","8.20e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.13e-01","9.95e-01","1.00e+00","9.28e-01","1.00e+00","1.00e+00","5.57e-05","4.89e-03","1.00e+00","1.00e+00","1.00e+00","1.00e+00","7.80e-11","2.97e-04","4.07e-06","3.04e-01","1.00e+00","1.00e+00","6.40e-06","7.42e-02","2.41e-04","6.99e-01","1.00e+00","1.00e+00","6.20e-10","1.28e-07","6.17e-16","1.49e-05","1.52e-05","9.59e-01","1.35e-13","7.24e-11","2.27e-17","2.65e-08","2.46e-07","4.49e-02"
"17","TCGA_LIHC","TCGA.UB.A7MF.01A","2","2","2","3","1","0","2","1","0","9.63e-01","4.83e-01","1.29e-04","2.57e-01","8.37e-05","2.01e-02","4.88e-02","1.42e-02","9.12e-06","7.72e-01","1.49e-04","8.40e-05","5.20e-01","9.86e-01","1.49e-03","8.13e-01","2.47e-07","2.69e-02","1.00e+00","1.00e+00","9.99e-01","1.00e+00","1.00e+00","9.96e-01","7.46e-01","2.32e-01","1.88e-01","1.36e-05","1.97e-05","1.81e-02","1.00e+00","1.00e+00","1.00e+00","4.84e-04","1.00e+00","9.83e-01","9.80e-01","1.00e+00","9.73e-01","4.41e-03","9.83e-01","1.92e-02"
"18","TCGA_LIHC","TCGA.WX.AA46.01A","6","6","0","0","2","3","3","5","3","4.55e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","5.90e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.51e-09","1.42e-06","1.00e+00","9.99e-01","1.00e+00","1.00e+00","5.21e-15","1.81e-13","6.08e-12","1.11e-02","1.00e+00","7.29e-01","1.64e-08","1.40e-06","9.93e-04","9.89e-01","1.00e+00","9.75e-01","7.18e-13","1.65e-11","1.80e-16","7.10e-06","6.56e-10","1.71e-02","2.62e-16","2.11e-11","4.28e-18","2.73e-01","2.60e-02","9.85e-01"
"19","TCGA_LIHC","TCGA.CC.A8HV.01A","1","1","5","3","2","0","2","1","1","9.77e-03","1.97e-06","1.84e-12","6.43e-05","2.86e-09","8.01e-10","9.94e-01","6.36e-01","3.38e-12","6.44e-02","3.93e-08","7.62e-07","1.00e+00","3.69e-01","1.27e-15","1.17e-01","2.40e-03","3.39e-07","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.37e-01","8.84e-01","4.37e-07","1.71e-06","2.81e-01","1.00e+00","1.00e+00","9.98e-01","3.61e-04","1.00e+00","9.90e-01","1.00e+00","1.00e+00","1.00e+00","7.63e-08","7.27e-01","1.18e-02"
"20","TCGA_LIHC","TCGA.DD.AADQ.01A","6","6","0","0","2","1","1","3","1","5.45e-01","9.99e-01","1.00e+00","1.00e+00","1.00e+00","9.86e-01","5.00e-01","1.00e+00","9.78e-01","9.81e-01","9.99e-01","1.00e+00","5.20e-04","1.42e-06","9.84e-01","3.14e-01","5.59e-01","2.67e-01","3.44e-07","2.25e-02","1.61e-02","1.64e-01","9.94e-01","6.01e-01","1.87e-04","1.92e-02","6.88e-01","8.38e-01","1.00e+00","9.95e-01","6.05e-06","6.14e-04","4.43e-01","6.32e-03","2.73e-06","1.42e-01","1.38e-02","1.48e-04","7.35e-01","4.01e-01","5.19e-03","8.68e-01"
"21","TCGA_LIHC","TCGA.DD.AADB.01A","1","1","4","3","2","0","3","0","1","1.02e-01","4.28e-10","7.57e-11","6.58e-03","6.88e-11","4.60e-07","9.18e-01","4.20e-03","2.17e-11","6.45e-01","2.36e-08","2.75e-06","1.00e+00","9.96e-01","2.70e-04","1.00e+00","3.08e-09","3.40e-03","1.00e+00","1.00e+00","1.00e+00","1.00e+00","8.79e-01","9.50e-01","9.94e-01","3.60e-01","1.07e-05","1.68e-08","5.44e-11","1.40e-02","1.00e+00","1.00e+00","1.00e+00","1.23e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.97e-01","5.07e-02","9.87e-01","1.26e-04"
"22","TCGA_LIHC","TCGA.DD.A1EA.01A","4","4","0","0","2","6","1","3","1","8.20e-01","1.00e+00","1.00e+00","9.98e-01","1.00e+00","7.03e-01","2.13e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.58e-07","1.17e-04","1.00e+00","3.12e-01","5.43e-03","1.21e-02","1.35e-14","7.22e-15","4.41e-14","9.26e-09","4.57e-09","2.50e-12","2.50e-03","5.69e-05","6.90e-01","1.00e+00","1.00e+00","8.99e-01","1.26e-05","1.51e-05","9.95e-01","1.00e+00","4.75e-06","4.48e-03","2.99e-01","3.03e-05","9.88e-01","1.00e+00","1.05e-01","9.96e-01"
"23","TCGA_LIHC","TCGA.5R.AA1C.01A","4","4","0","0","4","6","0","4","1","9.63e-01","1.00e+00","1.00e+00","9.18e-01","1.00e+00","6.36e-01","4.88e-02","1.00e+00","1.00e+00","9.89e-01","1.00e+00","1.00e+00","7.26e-09","3.33e-08","1.00e+00","1.59e-04","1.02e-03","2.25e-06","2.54e-15","2.20e-14","2.64e-11","2.73e-10","2.70e-07","3.80e-12","8.34e-02","1.17e-02","1.00e+00","1.00e+00","1.00e+00","9.80e-01","2.96e-06","9.48e-06","9.99e-01","1.00e+00","3.12e-09","7.25e-05","3.65e-01","6.55e-05","1.00e+00","1.00e+00","2.18e-02","1.00e+00"
